GHGRP Facility ID,FACILITY NAME,GHGRP - City,GHGRP - State,ORIS CODE,ORIS CODE 2,ORIS CODE 3,ORIS CODE 4,ORIS CODE 5,GHGRP - Power Plant Sector,Reported Subparts RY10,Reported Subparts RY11,Reported Subparts RY12,Reported Subparts RY13,Reported Subparts RY14,Reported Subparts RY15,Reported Subparts RY16,Reported Subparts RY17,Reported Subparts RY18,Reported Subparts RY19,Reported Subparts RY20
1007913,"Catlettsburg Refining, LLC",Catlettsburg,KY,880038,,,,,,"C,Y","C,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y"
1007914,COVANTA HONOLULU RESOURCE RECOVERY VENTURE (H-POWER),KAPOLEI,HI,10334,,,,,,C,C,C,C,C,C,C,C,C,C,C
1007916,Chemours Belle Plant,BELLE,WV,10788,,,,,,C,"C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT"
1007917,"ALABAMA RIVER CELLULOSE, LLC",PERDUE HILL,AL,10216,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1007917,"ALABAMA RIVER CELLULOSE, LLC",PERDUE HILL,AL,54429,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1007919,Sterling Power Plant,Sherrill,NY,50744,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1007920,Batavia Energy,Batavia,NY,54593,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1007930,Big Cajun 1,JARREAU,LA,1464,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1007931,Bayou Cove Peaking Power Plant,JENNINGS,LA,55433,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1007940,Boardman,BOARDMAN,OR,6106,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1007950,Mad River,SPRINGFIELD,OH,2860,,,,,Yes,C,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1007955,Cymric,McKittrick,CA,52076,,,,,,"C,NN","C,NN,W","C,NN,W","C,NN,W","C,NN,W","C,NN,W",No submission,No submission,No submission,No submission,No submission
1007955,Cymric,McKittrick,CA,52081,,,,,,"C,NN","C,NN,W","C,NN,W","C,NN,W","C,NN,W","C,NN,W",No submission,No submission,No submission,No submission,No submission
1007955,Cymric,McKittrick,CA,52104,,,,,,"C,NN","C,NN,W","C,NN,W","C,NN,W","C,NN,W","C,NN,W",No submission,No submission,No submission,No submission,No submission
1007959,Exxonmobil Beaumont Refinery,BEAUMONT,TX,50625,,,,,Yes,"C,D,X,Y","C,D,X,Y","C,D,MM,X,Y","C,D,MM,X,Y","C,D,MM,X,Y","C,D,MM,X,Y","C,D,MM,X,Y","C,D,MM,X,Y","C,D,MM,X,Y","C,D,MM,X,Y","C,D,MM,X,Y"
1007962,Coolidge Generating Station,Randolph,AZ,56948,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1007964,"West Rock Mill Company, LLC",Demopolis,AL,54763,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1007967,VI WATER AND POWER AUTHORITY,ST THOMAS,VI,No Match,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1007973,UW Madison - Charter St.,Madison,WI,54408,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
